Date;Paradigm;BTC
2018-02-18;28207061;18015172
2018-02-19;28742213;18529699
2018-02-20;29543697;19590469
2018-02-21;26660592;17199873
2018-02-22;25959462;16584982
2018-02-23;26161309;16593346
2018-02-24;25481559;15899721
2018-02-25;25725916;16043273
2018-02-26;27133408;17354716
2018-02-27;27806480;17964973
2018-02-28;27360880;17615376
2018-03-01;28001912;18262700
2018-03-02;28064077;18443370
2018-03-03;28463115;18899988
2018-03-04;28682719;19052239
2018-03-05;28865640;19329876
2018-03-06;27404376;18048442
2018-03-07;25610999;16660288
2018-03-08;24288251;15618169
2018-03-09;23844841;15062526
2018-03-10;23387688;14768898
2018-03-11;24820579;16088186
2018-03-12;23747852;15087818
2018-03-13;23727960;15167171
2018-03-14;21862156;13917000
2018-03-15;21904966;13800194
2018-03-16;22348620;14261596
2018-03-17;20857476;13099025
2018-03-18;20557555;12799174
2018-03-19;21663492;14091815
2018-03-20;22560607;14896241
2018-03-21;22517996;14878795
2018-03-22;21837348;14371259
2018-03-23;21846380;14399980
2018-03-24;22354267;14963936
2018-03-25;21862974;14389124
2018-03-26;20314884;13192362
2018-03-27;20368871;13363030
2018-03-28;20130522;13239583
2018-03-29;18428904;11859559
2018-03-30;18145078;11474834
2018-03-31;18192700;11541759
2018-04-01;18060452;11521319
2018-04-02;18153640;11591924
2018-04-03;19127618;12376445
2018-04-04;17974024;11429654
2018-04-05;17835468;11297509
2018-04-06;17563335;11049964
2018-04-07;18332638;11712393
2018-04-08;18319090;11637589
2018-04-09;17853578;11149775
2018-04-10;18241147;11434655
2018-04-11;18382988;11524882
2018-04-12;20165969;12930097
2018-04-13;20457515;13209458
2018-04-14;20864371;13516819
2018-04-15;21334260;13884834
2018-04-16;20701549;13346386
2018-04-17;20597727;13235000
2018-04-18;21165941;13687854
2018-04-19;21510886;13765870
2018-04-20;22241629;14268136
2018-04-21;22667398;14681598
2018-04-22;23088509;14870448
2018-04-23;23163617;14927990
2018-04-24;24438367;15815550
2018-04-25;23434367;15188264
2018-04-26;23494326;15246809
2018-04-27;23283899;15005921
2018-04-28;24023763;15590235
2018-04-29;23999102;15546460
2018-04-30;23891134;15510078
2018-05-01;23525488;15077865
2018-05-02;23867534;15348828
2018-05-03;25144524;16124584
2018-05-04;25395857;16200074
2018-05-05;25580335;16258819
2018-05-06;25121863;15917518
2018-05-07;24659650;15778716
2018-05-08;24250165;15322082
2018-05-09;24382124;15462623
2018-05-10;24023299;15214242
2018-05-11;22441016;14104361
2018-05-12;22492658;14109948
2018-05-13;23382397;14577723
2018-05-14;23536670;14735694
2018-05-15;22937056;14251526
2018-05-16;22479973;13868876
2018-05-17;22195745;13720874
2018-05-18;22325669;13749728
2018-05-19;22391239;13806199
2018-05-20;23093387;14310155
2018-05-21;22657226;14067946
2018-05-22;21798156;13563956
2018-05-23;20564844;12695917
2018-05-24;20439166;12637372
2018-05-25;20217629;12453289
2018-05-26;20472494;12591372
2018-05-27;19870607;12222271
2018-05-28;19272380;12063296
2018-05-29;20172051;12543566
2018-05-30;19762766;12277654
2018-05-31;20380614;12612298
2018-06-01;20104128;12432314
2018-06-02;20580304;12737752
2018-06-03;20997591;12934747
2018-06-04;20499310;12591289
2018-06-05;20694882;12753509
2018-06-06;20709165;12739893
2018-06-07;20724286;12814680
2018-06-08;20691502;12790961
2018-06-09;20653743;12762826
2018-06-10;18549128;11240420
2018-06-11;18654474;11310138
2018-06-12;18075201;10935450
2018-06-13;17468529;10459110
2018-06-14;18489590;11144489
2018-06-15;18052485;10871485
2018-06-16;18139098;10906127
2018-06-17;18095824;10868173
2018-06-18;18587251;11247345
2018-06-19;18718007;11199923
2018-06-20;18781983;11290718
2018-06-21;18652574;11236171
2018-06-22;17137170;10170734
2018-06-23;17388420;10260325
2018-06-24;17244663;10341151
2018-06-25;17412166;10455079
2018-06-26;17140862;10341368
2018-06-27;16972450;10248382
2018-06-28;16773880;10114481
2018-06-29;16473192;9878092
2018-06-30;17391266;10629477
2018-07-01;17449470;10618019
2018-07-02;18109140;11071709
2018-07-03;17984527;11062058
2018-07-04;18135546;11182109
2018-07-05;17778648;10880351
2018-07-06;17920635;10991018
2018-07-07;17804831;10901929
2018-07-08;18357994;11282053
2018-07-09;18190161;11207199
2018-07-10;17380120;10683372
2018-07-11;17326084;10628088
2018-07-12;16940753;10330194
2018-07-13;17016185;10347039
2018-07-14;17161333;10493803
2018-07-15;17485725;10663550
2018-07-16;18117202;11145995
2018-07-17;19293394;12235151
2018-07-18;19064253;12269291
2018-07-19;19097919;12399027
2018-07-20;18770883;12290534
2018-07-21;19086432;12409364
2018-07-22;19141805;12575766
2018-07-23;19363449;12889835
2018-07-24;20327956;13764783
2018-07-25;20260311;13671127
2018-07-26;20121828;13616731
2018-07-27;20303792;13755867
2018-07-28;20136919;13656223
2018-07-29;20183080;13705117
2018-07-30;20011244;13626198
2018-07-31;19158874;12863155
2018-08-01;18643487;12505512
2018-08-02;18756777;12629025
2018-08-03;18602114;12367262
2018-08-04;17910031;11683472
2018-08-05;18067012;11790425
2018-08-06;17772118;11575130
2018-08-07;17464030;11501597
2018-08-08;16484000;10569911
2018-08-09;16863907;10882692
2018-08-10;15935897;10354131
2018-08-11;16241870;10740712
2018-08-12;16099613;10611846
2018-08-13;15662423;10501882
2018-08-14;15120078;10160648
2018-08-15;15815079;10663567
2018-08-16;15601524;10464915
2018-08-17;16152656;10839185
2018-08-18;15863242;10655203
2018-08-19;16153458;10929529
2018-08-20;15869655;10805497
2018-08-21;15810730;10780121
2018-08-22;15524806;10589967
2018-08-23;15732230;10743874
2018-08-24;16079843;11053845
2018-08-25;16182899;11232290
2018-08-26;16067723;11164060
2018-08-27;16176006;11236489
2018-08-28;16871416;11849640
2018-08-29;16778650;11774250
2018-08-30;16528813;11570179
2018-08-31;16698173;11783450
2018-09-01;17066949;12036817
2018-09-02;17146388;12175368
2018-09-03;17137047;12193868
2018-09-04;17176643;12310824
2018-09-05;16164621;11622719
2018-09-06;15250275;10776659
2018-09-07;15180489;10776609
2018-09-08;14565747;10323052
2018-09-09;14910392;10683639
2018-09-10;14738621;10534767
2018-09-11;14578265;10454477
2018-09-12;14599905;10546476
2018-09-13;15071575;10812438
2018-09-14;15276276;10931201
2018-09-15;15334234;10929512
2018-09-16;15277995;10874346
2018-09-17;14636099;10397605
2018-09-18;14902242;10566917
2018-09-19;15062619;10741047
2018-09-20;15040951;10663567
2018-09-21;15830349;11223927
2018-09-22;15777795;11228259
2018-09-23;15745946;11159544
2018-09-24;15593257;11081746
2018-09-25;15096007;10685797
2018-09-26;15231207;10867638
2018-09-27;15677421;11198836
2018-09-28;15490921;11113527
2018-09-29;15510083;11001455
2018-09-30;15459227;10975194
2018-10-01;15467775;10958968
2018-10-02;15386224;10913454
2018-10-03;15156240;10768145
2018-10-04;15360953;10949601
2018-10-05;15374796;10938043
2018-10-06;15411047;10959453
2018-10-07;15374231;10927873
2018-10-08;15578507;11078417
2018-10-09;15480618;11004132
2018-10-10;15388501;10923523
2018-10-11;14656961;10378285
2018-10-12;14647426;10397605
2018-10-13;14637998;10358062
2018-10-14;14670902;10404664
2018-10-15;15027374;10688674
2018-10-16;15147343;10810013
2018-10-17;15104454;10763846
2018-10-18;14977924;10693609
2018-10-19;14947194;10674607
2018-10-20;15013747;10705251
2018-10-21;15070622;10769433
2018-10-22;15018220;10725474
2018-10-23;14991361;10694880
2018-10-24;15027724;10747219
2018-10-25;14980087;10705435
2018-10-26;14988196;10708613
2018-10-27;14974728;10708814
2018-10-28;14971250;10697054
2018-10-29;14693628;10443788
2018-10-30;14724400;10474382
2018-10-31;14792802;10539786
2018-11-01;14846130;10600388
2018-11-02;14897691;10625261
2018-11-03;14864976;10605022
2018-11-04;15084684;10728050
2018-11-05;15028330;10705385
2018-11-06;15218634;10741197
2018-11-07;15348067;10872372
2018-11-08;15164645;10737183
2018-11-09;14960789;10581319
2018-11-10;15054902;10640583
2018-11-11;14926209;10565244
2018-11-12;14937000;10553184
2018-11-13;14865872;10504257
2018-11-14;13480559;9285282
2018-11-15;13296141;9149072
2018-11-16;13169045;9122058
2018-11-17;13228730;9176572
2018-11-18;13334850;9274727
2018-11-19;11893960;8002258
2018-11-20;11049089;7250355
2018-11-21;11178967;7445244
2018-11-22;11073136;7405617
2018-11-23;10703429;7119298
2018-11-24;9985524;6362377
2018-11-25;10359908;6771156
2018-11-26;9656023;6124718
2018-11-27;9852748;6299182
2018-11-28;10633400;7058863
2018-11-29;10481208;6994564
2018-11-30;10107658;6582139
2018-12-01;10523260;6980463
2018-12-02;10476089;6937290
2018-12-03;9967994;6480404
2018-12-04;10007746;6520516
2018-12-05;9656435;6227607
2018-12-06;9380436;6013181
2018-12-07;9069992;5666410
2018-12-08;8783020;5477410
2018-12-09;9256511;5894887
2018-12-10;9025309;5689126
2018-12-11;8950414;5641319
2018-12-12;9082901;5754161
2018-12-13;8739062;5445009
2018-12-14;8568041;5280866
2018-12-15;8662590;5359801
2018-12-16;8671821;5358731
2018-12-17;9236771;5842062
2018-12-18;9280910;5911279
2018-12-19;9550009;6132462
2018-12-20;10260956;6683556
2018-12-21;9955142;6436813
2018-12-22;10115766;6496830
2018-12-23;10493547;6609354
2018-12-24;10858028;6796230
2018-12-25;10302996;6337872
2018-12-26;10242092;6313166
2018-12-27;9763069;5999197
2018-12-28;10515700;6509961
2018-12-29;10730196;6540036
2018-12-30;10491757;6389776
2018-12-31;10154457;6139939
2019-01-01;10368899;6226703
2019-01-02;10891267;6497884
2019-01-03;10606004;6347206
2019-01-04;10801476;6413529
2019-01-05;10853723;6419885
2019-01-06;11079635;6741716
2019-01-07;10943520;6701855
2019-01-08;10902930;6690614
2019-01-09;10903765;6697556
2019-01-10;10010321;6073834
2019-01-11;9993156;6105063
2019-01-12;9957400;6067260
2019-01-13;9640503;5882358
2019-01-14;10070191;6131961
2019-01-15;9749143;5969055
2019-01-16;9875875;6025927
2019-01-17;9895953;6065437
2019-01-18;9829394;6042136
2019-01-19;10036122;6193935
2019-01-20;9691770;5920094
2019-01-21;9621689;5887175
2019-01-22;9760445;5977686
2019-01-23;9690608;5929495
2019-01-24;9739429;5973270
2019-01-25;9688960;5952997
2019-01-26;9695681;5950672
2019-01-27;9618533;5923724
2019-01-28;9263874;5714049
2019-01-29;9267217;5690681
2019-01-30;9375455;5740144
2019-01-31;9317765;5715187
2019-02-01;9383554;5769433
2019-02-02;9361228;5742720
2019-02-03;9267647;5679257
2019-02-04;9336596;5718532
2019-02-05;9335149;5725373
2019-02-06;9189505;5630597
2019-02-07;9174844;5619106
2019-02-08;9834929;6012445
2019-02-09;9874834;6055233
2019-02-10;9831885;6030142
2019-02-11;9851938;6006741
2019-02-12;9848715;5982269
2019-02-13;9840535;5974775
2019-02-14;9844942;5969991
2019-02-15;9842642;5965274
2019-02-16;9934216;6014670
2019-02-17;10058283;5993744
2019-02-18;10721282;6442467
2019-02-19;10798188;6501848
2019-02-20;10887014;6547246
2019-02-21;10829990;6519496
2019-02-22;10981670;6592610
2019-02-23;11421349;6868658
2019-02-24;10568587;6336868
2019-02-25;10530524;6364351
2019-02-26;10488954;6340967
2019-02-27;10339961;6271014
2019-02-28;10510927;6360587
2019-03-01;10580001;6405383
2019-03-02;10460471;6373049
2019-03-03;10394166;6337889
2019-03-04;10150667;6190790
2019-03-05;10558721;6414583
2019-03-06;10600379;6436612
2019-03-07;10664141;6475102
2019-03-08;10619336;6475135
2019-03-09;10655071;6511901
2019-03-10;10636714;6519981
2019-03-11;10497984;6438018
2019-03-12;10548490;6465467
2019-03-13;10494923;6443036
2019-03-14;10493018;6442985
2019-03-15;10669816;6524012
2019-03-16;10866326;6657662
2019-03-17;10847138;6650804
2019-03-18;10801353;6643059
2019-03-19;10845574;6678621
2019-03-20;10870503;6710035
2019-03-21;10740723;6645702
2019-03-22;10761073;6651222
2019-03-23;10755172;6642357
2019-03-24;10711360;6621247
2019-03-25;10539061;6502852
2019-03-26;10605868;6543348
2019-03-27;10852149;6707576
2019-03-28;10841868;6706388
2019-03-29;11004790;6812773
2019-03-30;11036222;6824566
2019-03-31;11045788;6846595
2019-04-01;11079779;6905793
2019-04-02;12478832;8035947
2019-04-03;13574250;8857033
2019-04-04;12471843;8109479
2019-04-05;12868745;8363582
2019-04-06;13058409;8500744
2019-04-07;13292195;8606393
2019-04-08;13605085;8784939
2019-04-09;13474432;8731211
2019-04-10;13531640;8878678
2019-04-11;12930214;8454410
2019-04-12;12907944;8435659
2019-04-13;12956525;8506749
2019-04-14;12997884;8515330
2019-04-15;12785997;8399093
2019-04-16;13165454;8674021
2019-04-17;13234499;8725491
2019-04-18;13561691;8880752
2019-04-19;13430108;8817088
2019-04-20;13513063;8897161
2019-04-21;13290432;8759731
2019-04-22;13549298;8974123
2019-04-23;13865477;9333657
2019-04-24;13499166;9099560
2019-04-25;13589625;9191576
2019-04-26;12894857;8526337
2019-04-27;13143775;8703544
2019-04-28;13015781;8574745
2019-04-29;12992010;8583259
2019-04-30;13238533;8758560
2019-05-01;13348281;8878778
2019-05-02;13536466;9046050
2019-05-03;14079609;9517388
2019-05-04;13971426;9516920
2019-05-05;14085274;9653848
2019-05-06;14233568;9521419
2019-05-07;14382943;9777044
2019-05-08;14382811;9873543
2019-05-09;14555691;10175033
2019-05-10;14862942;10526922
2019-05-11;16256849;11658314
2019-05-12;16401268;12000084
2019-05-13;17551917;13161852
2019-05-14;17456296;12916849
2019-05-15;18742571;13672951
2019-05-16;18389669;12826422
2019-05-17;17209057;11888313
2019-05-18;17497945;12208320
2019-05-19;18911007;13424201
2019-05-20;18840252;13410184
2019-05-21;19106918;13528879
2019-05-22;18456772;13092367
2019-05-23;18467716;13185705
2019-05-24;18967858;13564843
2019-05-25;18793203;13454895
2019-05-26;19860769;14347440
2019-05-27;20140530;14650001
2019-05-28;20159686;14529214
2019-05-29;20052053;14464196
2019-05-30;19658331;14164328
2019-05-31;19677167;14225616
2019-06-01;19797046;14284997
2019-06-02;20061456;14534918
2019-06-03;19712347;14306391
2019-06-04;18074571;12802502
2019-06-05;18259563;12938227
2019-06-06;18141345;12854959
2019-06-07;18557991;13213673
2019-06-08;18451003;13167623
2019-06-09;17991970;12910409
2019-06-10;18542825;13291103
2019-06-11;18531278;13264490
2019-06-12;19024298;13587425
2019-06-13;19285296;13821956
2019-06-14;19522568;14142649
2019-06-15;20231912;14722647
2019-06-16;20393433;14945269
2019-06-17;20973072;15501062
2019-06-18;20590023;15265577
2019-06-19;20744687;15336785
2019-06-20;21372909;15992841
2019-06-21;22321212;16629142
2019-06-22;23522706;17747537
2019-06-23;24280004;18445110
2019-06-24;23852233;18155161
2019-06-25;24604826;19010237
2019-06-26;27058771;21282304
2019-06-27;23294371;17866735
2019-06-28;25739459;20440594
2019-06-29;25754724;20306575
2019-06-30;24564906;19068966
2019-07-01;23007840;17530067
2019-07-02;23293850;17906428
2019-07-03;24326902;19030878
2019-07-04;24777876;19602529
2019-07-05;23726716;18465668
2019-07-06;24424834;19169329
2019-07-07;24763364;19254587
2019-07-08;25812547;20414315
2019-07-09;25962731;20741682
2019-07-10;24746559;19687871
2019-07-11;23454670;18654434
2019-07-12;24718487;19931118
2019-07-13;23078964;18254838
2019-07-14;22163730;17794356
2019-07-15;22295186;18110215
2019-07-16;20031754;16065420
2019-07-17;20352008;16208755
2019-07-18;21877187;17755867
2019-07-19;21678348;17613686
2019-07-20;22472413;18296656
2019-07-21;21714245;17585752
2019-07-22;21395247;17269040
2019-07-23;21188484;16971397
2019-07-24;20603598;16171253
2019-07-25;20899400;16520700
2019-07-26;20845050;16444775
2019-07-27;20201382;15800278
2019-07-28;20276109;15909439
2019-07-29;20349579;15915929
2019-07-30;20333143;15952846
2019-07-31;21011075;16770654
2019-08-01;21492196;17414031
2019-08-02;21445855;17404011
2019-08-03;22125679;18215145
2019-08-04;22173235;18312463
2019-08-05;23272808;19619390
2019-08-06;22835845;19178462
2019-08-07;23375810;20041132
2019-08-08;23237747;20043591
2019-08-09;22904960;19863272
2019-08-10;22164008;18918271